1
 OUTPUT FROM NONPUL:
  INITIAL MODEL IN HYDROSTATIC AND THERMAL BALANCE

  ZAMS 130 Msun to test the complete integrator                                      200 ZONES

     TOTAL LUMINOSITY= 7.7397E+39 TOTAL MASS= 2.5883E+35 EFFECTIVE TEMP.= 5.5266E+04
       PHOTOSPHERIC RADIUS= 1.0791E+12 CORE RADIUS= 6.2950E+10 CORE LUM.= 7.2700E+38
 IRAD= 1 NOBURN= 0 ONEMQ0= 1.000E+00 ONEMQ1= 1.000E+00 RLUMS= 7.740E+39 RLUMC= 7.740E+33
           IOUT= 0 IHMIN=  0 IHMAX=  0
   I   RADIUS     TEMP     SP.VOL   PRESSURE     G1       G3M1     OPACITY   DLKDLR    DLKDLT      CV       FRFT    INT.MASS
   95 5.286E+11 1.701E+07 9.030E+00 4.618E+14 1.435E+00 3.764E-01 3.378E-01 8.628E-03-3.675E-02 1.545E+09 9.365E-01 2.094E+35
   96 5.380E+11 1.653E+07 9.754E+00 4.134E+14 1.436E+00 3.768E-01 3.379E-01 8.964E-03-3.816E-02 1.532E+09 9.557E-01 2.128E+35
   97 5.478E+11 1.602E+07 1.060E+01 3.670E+14 1.437E+00 3.772E-01 3.381E-01 9.339E-03-3.973E-02 1.517E+09 9.718E-01 2.163E+35
   98 5.584E+11 1.549E+07 1.159E+01 3.228E+14 1.437E+00 3.776E-01 3.382E-01 9.761E-03-4.151E-02 1.502E+09 9.852E-01 2.197E+35
   99 5.696E+11 1.493E+07 1.277E+01 2.807E+14 1.438E+00 3.781E-01 3.385E-01 1.024E-02-4.354E-02 1.485E+09 9.743E-01 2.233E+35
  100 5.817E+11 1.434E+07 1.420E+01 2.409E+14 1.439E+00 3.787E-01 3.387E-01 1.080E-02-4.589E-02 1.467E+09 9.934E-01 2.268E+35
  101 5.949E+11 1.371E+07 1.598E+01 2.033E+14 1.440E+00 3.793E-01 3.390E-01 1.145E-02-4.864E-02 1.446E+09 1.000E+00 2.304E+35
  102 6.094E+11 1.304E+07 1.823E+01 1.681E+14 1.441E+00 3.801E-01 3.393E-01 1.223E-02-5.193E-02 1.424E+09 1.000E+00 2.340E+35
  103 6.250E+11 1.233E+07 2.113E+01 1.359E+14 1.442E+00 3.809E-01 3.397E-01 1.317E-02-5.590E-02 1.398E+09 1.000E+00 2.376E+35
  104 6.419E+11 1.160E+07 2.506E+01 1.072E+14 1.443E+00 3.814E-01 3.401E-01 1.415E-02-6.007E-02 1.383E+09 1.000E+00 2.410E+35
  105 6.598E+11 1.085E+07 3.030E+01 8.256E+13 1.443E+00 3.819E-01 3.406E-01 1.528E-02-6.483E-02 1.370E+09 1.000E+00 2.441E+35
  106 6.784E+11 1.009E+07 3.728E+01 6.219E+13 1.444E+00 3.822E-01 3.411E-01 1.655E-02-7.021E-02 1.360E+09 1.000E+00 2.469E+35
  107 6.974E+11 9.351E+06 4.657E+01 4.599E+13 1.444E+00 3.825E-01 3.417E-01 1.797E-02-7.623E-02 1.352E+09 1.000E+00 2.493E+35
  108 7.164E+11 8.636E+06 5.885E+01 3.354E+13 1.445E+00 3.827E-01 3.424E-01 1.953E-02-8.287E-02 1.347E+09 1.000E+00 2.514E+35
  109 7.349E+11 7.962E+06 7.492E+01 2.426E+13 1.445E+00 3.828E-01 3.431E-01 2.123E-02-9.007E-02 1.344E+09 1.000E+00 2.530E+35
  110 7.528E+11 7.336E+06 9.569E+01 1.750E+13 1.445E+00 3.829E-01 3.439E-01 2.305E-02-9.778E-02 1.343E+09 1.000E+00 2.543E+35
  111 7.698E+11 6.764E+06 1.222E+02 1.264E+13 1.445E+00 3.828E-01 3.447E-01 2.497E-02-1.059E-01 1.344E+09 1.000E+00 2.553E+35
  112 7.859E+11 6.244E+06 1.556E+02 9.170E+12 1.445E+00 3.827E-01 3.456E-01 2.699E-02-1.145E-01 1.346E+09 1.000E+00 2.561E+35
  113 8.011E+11 5.771E+06 1.977E+02 6.680E+12 1.445E+00 3.826E-01 3.465E-01 2.911E-02-1.235E-01 1.350E+09 1.000E+00 2.567E+35
  114 8.156E+11 5.341E+06 2.505E+02 4.887E+12 1.444E+00 3.824E-01 3.475E-01 3.133E-02-1.329E-01 1.354E+09 1.000E+00 2.572E+35
  115 8.293E+11 4.948E+06 3.166E+02 3.589E+12 1.444E+00 3.822E-01 3.485E-01 3.365E-02-1.427E-01 1.360E+09 1.000E+00 2.576E+35
  116 8.422E+11 4.588E+06 3.993E+02 2.645E+12 1.444E+00 3.820E-01 3.496E-01 3.608E-02-1.530E-01 1.366E+09 1.000E+00 2.578E+35
  117 8.545E+11 4.258E+06 5.024E+02 1.956E+12 1.443E+00 3.818E-01 3.507E-01 3.863E-02-1.638E-01 1.373E+09 1.000E+00 2.581E+35
  118 8.662E+11 3.955E+06 6.309E+02 1.451E+12 1.443E+00 3.815E-01 3.519E-01 4.130E-02-1.751E-01 1.381E+09 1.000E+00 2.582E+35
  119 8.772E+11 3.677E+06 7.909E+02 1.079E+12 1.443E+00 3.812E-01 3.532E-01 4.408E-02-1.869E-01 1.389E+09 1.000E+00 2.584E+35
  120 8.877E+11 3.421E+06 9.897E+02 8.050E+11 1.442E+00 3.809E-01 3.545E-01 4.700E-02-1.993E-01 1.398E+09 1.000E+00 2.585E+35
  121 8.976E+11 3.185E+06 1.236E+03 6.019E+11 1.442E+00 3.806E-01 3.559E-01 5.004E-02-2.121E-01 1.408E+09 1.000E+00 2.586E+35
  122 9.070E+11 2.966E+06 1.543E+03 4.510E+11 1.441E+00 3.802E-01 3.574E-01 5.322E-02-2.256E-01 1.418E+09 1.000E+00 2.586E+35
  123 9.159E+11 2.765E+06 1.922E+03 3.387E+11 1.441E+00 3.799E-01 3.589E-01 5.652E-02-2.396E-01 1.429E+09 1.000E+00 2.587E+35
  124 9.244E+11 2.579E+06 2.392E+03 2.549E+11 1.440E+00 3.795E-01 3.605E-01 5.997E-02-2.541E-01 1.441E+09 1.000E+00 2.587E+35
  125 9.324E+11 2.406E+06 2.973E+03 1.922E+11 1.440E+00 3.791E-01 3.622E-01 6.355E-02-2.692E-01 1.453E+09 1.000E+00 2.587E+35
  126 9.399E+11 2.246E+06 3.692E+03 1.451E+11 1.439E+00 3.787E-01 3.640E-01 6.727E-02-2.849E-01 1.466E+09 1.000E+00 2.588E+35
  127 9.471E+11 2.098E+06 4.581E+03 1.098E+11 1.438E+00 3.783E-01 3.658E-01 7.113E-02-3.012E-01 1.479E+09 1.000E+00 2.588E+35
  128 9.539E+11 1.960E+06 5.679E+03 8.314E+10 1.438E+00 3.779E-01 3.678E-01 7.514E-02-3.181E-01 1.494E+09 1.000E+00 2.588E+35
  129 9.604E+11 1.832E+06 7.034E+03 6.307E+10 1.437E+00 3.774E-01 3.698E-01 7.928E-02-3.355E-01 1.509E+09 1.000E+00 2.588E+35
  130 9.665E+11 1.713E+06 8.708E+03 4.791E+10 1.436E+00 3.769E-01 3.719E-01 8.357E-02-3.535E-01 1.525E+09 1.000E+00 2.588E+35
  131 9.723E+11 1.603E+06 1.077E+04 3.643E+10 1.436E+00 3.765E-01 3.742E-01 8.799E-02-3.721E-01 1.542E+09 1.000E+00 2.588E+35
  132 9.778E+11 1.500E+06 1.332E+04 2.774E+10 1.435E+00 3.760E-01 3.765E-01 9.256E-02-3.912E-01 1.559E+09 1.000E+00 2.588E+35
  133 9.831E+11 1.404E+06 1.646E+04 2.114E+10 1.434E+00 3.755E-01 3.789E-01 9.726E-02-4.108E-01 1.578E+09 1.000E+00 2.588E+35
  134 9.880E+11 1.315E+06 2.033E+04 1.613E+10 1.433E+00 3.750E-01 3.814E-01 1.021E-01-4.310E-01 1.597E+09 1.000E+00 2.588E+35
